Sentence,Label
Han wo bhi baat hai,2
"its not #unionbudget2015 its #buredinkabudget khana, cmputr, kapde, ghar sab mehenga. bewakuf bnaya sirf inhone",1
public movie review :- shamitabh #shamitabh #amitabhbachchan #moviereview http://t.co/xm7hsgfll6,2
ok,2
salmaan khan tumhare naam k pichey khan accha nahi lagtahai hata de muslaman ke naam ko jo itna hi bura kagta hai islamic dharm to abhi chod de zarurat nahi hai tumhari islaam ko,1
bhaijaan thagaye hoghaey itne saare comments dekkar bhaijaan abhi online mein hai,2
mummy jabb apne kisi dost ko nick name se bulati hai to kitta mazaa aata haii,2
bas kar rulayega kya . . . . .,2
Bajrangi Bhai hamse bhi guftgu kar liya karo........,0
"Uhhh what ever happened to the \ "" this page is dedicated to quality confessions\ "" motto ? I thought stuff like this made its way to the other confessions page ...",2
koi mujhe bataega du colleges ke form ki cutt off kab aayegi,0
Kon h Bhai ?,1
acha ji . . . . aisa kya ? ? ? ? bt we wer nt lyk dt knd f seniors . . . . i mean hum to aise ni the . . . . :-d . . .,0
aap manifesto speaks a lot about your vision of delhi . go ahead may god bless you to fulfill peoples dream .,0
Maine bola h ki se le liyo,2
Aur suna,2
uske baap ko mobile ki factory tha kya .,2
so pls,1
#79 I have had a couple of hot makeout sessions in a corner of the liby journal section with different guys . It was weird as recently we saw another couple using our favored spot . WTF seriously ?!!?!?!,1
agr tu itna handsome h to vo bechaariya milte he ignore kyu krne lgi ???? -_-,2
Bhai jaha fayeda ho vaha pe ladies first vala formula lagu ho jata hai ;p . According to the time change ho jati hai ye ..,2
greenbrier &amp; summers counties have just been placed under a winter storm watch for monday night through tuesday . . . http/URL,0
pata h murena ka h ye pic,2
july 8th . . . it's goin down at dar constitution hall . . . i'm gonna make this last part rhyme . . . mb y'all ! ! ! ! !,2
Ha dharamshala me hain,2
Salman apke fans pahle apka dharm nhi.....apke Indian pahle hone ki vajah se pasand karte h. Aur apke sbhi chahne wale ka koi bi dharm ho.salman aap Hiro ho unke,0
Asslamualeykum bhai jaan,0
Sale salman khan abki dekhna hai ki teri pic kaise hit hogi bina muslim ke sale tum log muslim per daag ho,1
Bhai aaap ki Sab say aache film kon si hai .,2
sharma 2 dhawan- dekh bhai baki ke 101 mujhe banane hai tu ruk ja aaj #indvsuae #sharmajirocksss,2
okkk,2
broom's sweep builds delhi's hope! #aapsweep,0
Allah kare ki app ki film bajrangi bhaijaan south therator mey reliz ho jaye,1
i am seriously amazed at detailing the artist has put through . . . . . .,0
haha superb . . . .,0
Abhi chalenge,2
4 pm ho gye bhai,2
Manage kar lenge sab,2
Kidar wait krna h ?,2
supw ki aisi ki taisi :-d kavi marks add toh hue nahi,1
"dont be so sure . for all you know , his webcam may be on and you may be famous on youtube already !",0
bhai decide kro,2
Biased ho ladkiyp ki taraf😡,2
desk pe bag taang rkkhi h . . . i used 2 do d same :p,0
le aaya main,1
I love u salman khan ek bar apsa milna cahti hu ya mara sapna ha bas ek bar love u love u love u love u love u so mach salman khan,0
Toh late kahan khaya tha,2
"on tuesday , the theatres open at ten o'clock in the morning , as lent begins after eight at night . on tuesday , all those who through want",0
na na ... tum bahut chu .. panti ki harkat kiye P D,1
brook lopez the 2nd best offensive center in the nba he not ass,0
@darkmystel @keisar_ wrong.....everybody would have been fearless and more courageous. #beefban,0
The Logical Indian Kuch bhi likhte ho .. ek bar soch bhi liya kro likhne se pehle,1
waah todi or request krke dekho tb bhi nhi dekhai dege salman bhai,2
drew peterson is no longer #untouchable ! tune in for the lifetime original movie sunday at 7/6c on @someUSER http/URL,2
Mein smja nahi,2
#railbudget2015 speed or nai train na suru karne ke alawa kuch khas nhi raha ... maalgadiyo ki tarf koi khas dhyan nhi diya gaya,1
i should've been guarding parker on that last play . he may have scored but i bet i would've been on the right side of the court .,2
austin rivers just scored his 1st nba points with 6:48 left in the 4th you running with the big boys now son (my doc rivers voice),2
thankgod me bach gai waheguru thnkjuu sare engineer dhakke kha rahe hai ajkal kutto ki tarah .. 3 lo sci na na llo or lo,1
Akdam kick ke jesa,0
"wo sahi tha . . . "" pilau tuze pani . . "" . . :p",0
#indvssa 7th wicket gone for sa!!!!!! brilliant bowling by ashwin!!!!,0
Bajrang bali ki jai,0
"can i join the admins in maintaining the page ? ? i am currently in my 3rd year now , and can speak/write fairly good english .",2
10 lakh ka suit wale khadi nahi pahen sakte . uncomfortable hota hai . vase chai wale jaror pahen sakte hai . kya hai majra aur kya hai hakikat .,2
Jst hate fc classes !! Dnt knw y we r being taught maths n history classes n all even aftr taking eng . Hons ( ... bullshit !!!,2
bj penn vs . nick diaz replay on fueltv ! i'd pay to watch it a 2nd time !,0
"@someUSER :( for what it's worth , i thought the finder was a funny , clever show . sad it didn't even get a 2nd season .",1
Bhai kia karne arahe ho,2
Aap shadi kab karoge yaar :(,2
Thats why i tried calling you? ?,0
"expect light-moderate rains over e . visayas; cebu , bohol , samar &amp; leyte have 30-70% chance of rains tonight ! expect fair weather tomorrow ! :)",2
hamara teacher to copy k liye ghar bhej deta tha ek class fellow k sath aur kehta tha mujhe maloom hai tu aa kar kahega ki mommy ghar par nahi hai aur ghar lock hai,2
Mee atalji ko bahat pasand kiya tha. Unka adarsh great tha. Uske bad app ayee sir i salute you,0
Mtlb tu kh ra h ki tiu mre se bada Jordan h,2
good news dear,0
give him a call and tell him his worth ) dont waste time posting it here ) all ur parents need is a word to know how special they are for u ),0
sari earth ke faadu sticker lagey hotey they ullu bananey ko . . . grrrrr !,1
"activists demand release of jharkhand tribal leader: new delhi , nov 1 (ians) condemning the arrest of woman trib . . . http/URL",1
Hurr? ?,2
garbage bin bhai batao na mera comment pahla hai na :(,2
admin itne din me q post krte ho,2
Ok sallu bhai,2
un sabko maine or meri CID team ne hi ander dala ha ),2
delhi walo sawdhan ho jao. ye kejriwal is agent hai. delhi ko mullo ke haatho nilam kar dega.,1
bhai tum shahi ho,0
i have a strong sense for who this guys might be ( not 100% sure though ) . and looking at some of the past comments you should be able to at least make a good guess .,2
but the bottom line is that he still has a chance to get lucky . . . unlike you ! :d,0
bjp to introspect on unexpected defeat: #satishupadhyay http://t.co/77zr3pw5fe #aapstorm #aapsweep #aapkidilli #delhidecides,2
guddu ki to halat kharab hai . . . . . . use to ab itni garmi lag rhi hogi jitni ki delhi ki summer me lagti h . . . . . . . . :p :d,0
Silver colour h,0
beef-legging the answer to maharashtra's #beefban woes?,2
ye pakistan k log vaise jokers bankar ku bethe h :-/ :o,1
"hahaha , muje aaj he pta chla tht he z a batsman basicaly , aj tak mje lgta tha he z a spinner . Lol . N yea uski shakal srsly kisi bndar ki copy lgti h .",2
ME AAPKA BHOT BHOT BHOT Bd fan hun,0
Shadhe karlo bhai,2
shabash . . . . ! ! ! ! !,0
Aata hu to launga,2
Sir kaise milega reply ;-( itne logo mein,2
bodoland boy ki tarapse ak nomste . ak jindabad .,0
Hum bhuke mur rahe hai sir,1
rt @amusednawab: #landacquisitionbill krishi pradhan desh sunte sunte kaan se khoon nikal aaya. industry pradhan kab banega?,1
Are waise .,2
Abhi gussa aata h baad m hm yaad Bhinhi aayegye ??,2
Hi salman I wnt ur pic wid ur autograph.am ur big fan.my qustn is aap aisa kya krte h ki apki kbubsirti din b din badhti hi ja rhi h.,0
Or me bhi indian hu kon hota he ye jo musalman ko gali de or khud ko musalman kehta he jaheel,1
"police aur master ke haath me danda dekh kar aadmi actor , surgeon , lawyer sab ban jaaeta hai . . . :-p",0
i agree with you kamal poddar . . .,0
last night i thought about one of my guy friends in meta while touching myself . i couldn't look him in the eye today . . .,1
Chl dhyan rakh le yar,1
Bhai apks bazrangi bhaijan movi song verey nice,0
Apke ashirwad sw,0
my mom is watching sasural simar ka :'(,2
"thand kitni bhi ho , cycle race jarur hoti thi :-p",2
#aapsweep how does a common man becum a chief minister without becoming a politician? he has 2 b ak either @anilkapoor or @arvindkejriwal,2
"hmm , i think i am living the movie ground hog day , grandma jan and isaac are back again this weekend",0
"m sirf doordarsan hi dekhta hun us par bhi sirf pavitr bandhan , , ,",0
Sala hrami muslmano ka dushman badnam kiya hai Muslman ko kalank hai kabrustan mai tera paisa kaam nahi aayega balki #aamaal aor sabse pahle #imaan #pakka hai ya nahi,1
superstar salman bhai,0
Koi batao salman se kaha bat hogi please,2
Ha 2 4 pav ...,2
kha par bhai,2
bhai ball lagta hai maruti gold ki hi hai . .,2
and i totally expected rahul gandhi to be on trends.. :) :p #aapkidilli #delhidecides,2
ian chappel greg chappel n indian chappal . . aaj teeno ko tv k saamne hi rehna hai . .,2
Acha acha sahi hai,1
six in one wala best hota tha,0
"Efforts mat laga , tera kabhi koi boyfrnd ni ban sakta ...... /",1
"best memory of my childhood , , , , , sega video game . . . . . :p",0
